[2024-06-06 11:23:39,567: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:23:39,569: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:23:39,569: INFO: common: created directory at: artifacts]
[2024-06-06 11:23:39,570: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:24:06,271: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:24:06,272: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:24:06,273: INFO: common: created directory at: artifacts]
[2024-06-06 11:24:06,274: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:25:20,499: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:25:20,501: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:25:20,502: INFO: common: created directory at: artifacts]
[2024-06-06 11:25:20,503: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:25:20,628: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 11:26:37,498: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:26:37,501: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:26:37,502: INFO: common: created directory at: artifacts]
[2024-06-06 11:26:37,502: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:26:37,803: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 11:42:55,553: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage started <<<<<<]
[2024-06-06 11:42:55,554: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:42:55,555: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:42:55,556: INFO: common: created directory at: artifacts]
[2024-06-06 11:42:55,556: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 11:42:55,556: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 11:42:58,497: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 11:43:00,313: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage completed <<<<<<

x===========================x
]
[2024-06-06 11:43:00,313: INFO: main: *************************]
[2024-06-06 11:43:00,313: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage started <<<<<<]
[2024-06-06 11:43:00,314: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:43:00,315: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:43:00,315: INFO: common: created directory at: artifacts]
[2024-06-06 11:43:00,315: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:43:00,545: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 11:43:00,577: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage completed <<<<<<

x===========================x
]
[2024-06-06 11:46:15,267: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage started <<<<<<]
[2024-06-06 11:46:15,269: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:46:15,269: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:46:15,269: INFO: common: created directory at: artifacts]
[2024-06-06 11:46:15,270: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 11:46:15,270: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 11:46:18,232: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 11:46:20,076: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage completed <<<<<<

x===========================x
]
[2024-06-06 11:46:20,076: INFO: main: *************************]
[2024-06-06 11:46:20,076: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage started <<<<<<]
[2024-06-06 11:46:20,077: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 11:46:20,078: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 11:46:20,078: INFO: common: created directory at: artifacts]
[2024-06-06 11:46:20,078: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 11:46:20,246: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 11:46:20,270: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage completed <<<<<<

x===========================x
]
[2024-06-06 12:04:21,552: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:04:21,554: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:04:21,554: INFO: common: created directory at: artifacts]
[2024-06-06 12:04:21,555: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:06:36,663: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:06:36,664: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:06:36,665: INFO: common: created directory at: artifacts]
[2024-06-06 12:06:36,665: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:11:07,563: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:11:07,565: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:11:07,566: INFO: common: created directory at: artifacts]
[2024-06-06 12:11:07,566: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:11:07,688: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:11:45,907: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:11:45,909: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:11:45,909: INFO: common: created directory at: artifacts]
[2024-06-06 12:11:45,909: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:11:45,963: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:13:02,453: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:13:02,454: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:13:02,455: INFO: common: created directory at: artifacts]
[2024-06-06 12:13:02,455: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:13:02,506: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:13:42,704: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:13:42,705: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:13:42,706: INFO: common: created directory at: artifacts]
[2024-06-06 12:13:42,706: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:13:42,761: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:16:03,141: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:16:03,142: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:16:03,143: INFO: common: created directory at: artifacts]
[2024-06-06 12:16:03,143: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:16:03,194: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:16:37,362: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:16:37,363: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:16:37,364: INFO: common: created directory at: artifacts]
[2024-06-06 12:16:37,364: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:16:37,418: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:17:29,072: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:17:29,073: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:17:29,073: INFO: common: created directory at: artifacts]
[2024-06-06 12:17:29,074: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:17:29,137: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:19:48,837: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:19:48,838: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:19:48,839: INFO: common: created directory at: artifacts]
[2024-06-06 12:19:48,839: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:19:48,895: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:23:32,432: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 12:31:45,498: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage started <<<<<<]
[2024-06-06 12:31:45,499: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:31:45,500: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:31:45,500: INFO: common: created directory at: artifacts]
[2024-06-06 12:31:45,500: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-06 12:31:45,500: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 12:31:49,313: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zXuLxCyCqs4eKQRYoLkVH6wANswYEhzh/view?usp=sharing into file artifacts/data_ingestion/Dataset.zip]
[2024-06-06 12:31:51,156: INFO: main: >>>>>>> Stage Stage 01: Data Ingestion Stage completed <<<<<<

x===========================x
]
[2024-06-06 12:31:51,156: INFO: main: *************************]
[2024-06-06 12:31:51,156: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage started <<<<<<]
[2024-06-06 12:31:51,157: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:31:51,158: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:31:51,158: INFO: common: created directory at: artifacts]
[2024-06-06 12:31:51,158: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-06-06 12:31:51,358: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 12:31:51,387: INFO: main: >>>>>>> Stage Stage 02: Prepare Base Model Stage completed <<<<<<

x===========================x
]
[2024-06-06 12:31:51,388: INFO: main: *************************]
[2024-06-06 12:31:51,388: INFO: main: >>>>>>> Stage Stage 03: Model Training Stage started <<<<<<]
[2024-06-06 12:31:51,389: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-06 12:31:51,389: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-06 12:31:51,390: INFO: common: created directory at: artifacts]
[2024-06-06 12:31:51,390: INFO: common: created directory at: artifacts/training]
[2024-06-06 12:31:51,443: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-06-06 12:35:27,416: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-06-06 12:35:27,450: INFO: main: >>>>>>> Stage Stage 03: Model Training Stage completed <<<<<<

x===========================x
]
